-3,6,12:-4,4,6,4,-8,0
-8,17,9:6,-4,-4,-14,-12,14
-8,-3,11:6,-4,-4,-14,10,-8
-3,9,17:6,-4,6,6,16,-16
-6,5,2:6,6,-2,-4,16,-2
-6,0,11:6,6,-2,10,0,14
-6,-1,12:6,6,-2,12,0,6
-9,-7,9:6,6,-2,12,4,16
-6,8,-4:6,6,-2,16,0,-8
-6,3,2:6,6,-2,16,4,4
-6,2,14:6,6,2,-6,-10,-12
-6,13,6:6,6,2,-4,4,-12
-6,-5,6:6,6,2,-2,-8,6
-8,-7,6:6,6,2,-2,-4,16
-6,15,13:6,6,6,-2,6,6
-6,3,-12:6,6,8,-4,4,8
-6,0,6:6,6,8,6,2,2
-6,-4,5:6,6,8,6,12,12
-7,-7,2:6,6,8,8,14,6
-8,-4,6:6,6,8,8,16,-2
-6,0,13:6,6,14,2,10,0
-8,-4,9:6,6,14,6,10,18
-8,5,8:6,6,14,8,16,-2
-11,18,11:-4,-14,-12,-2,14,-12,-2
-11,6,13:-4,-14,-12,14,-12,-22,-16
-11,26,11:-4,-14,-12,14,-12,-22,6
-17,-14,15:-4,-14,-8,10,10,0,6
-11,-2,13:-4,-14,-8,10,20,10,20
-15,-7,5:-4,-14,-8,20,12,30,18
-15,-11,8:-4,-14,-8,20,22,20,22
-15,-14,12:-4,-14,-8,20,28,20,24
-15,-2,21:-4,-14,-8,20,30,-2,28
-11,13,3:-4,-14,14,-2,-10,8,-4
-11,9,6:-4,-14,14,-2,0,-2,0
-11,6,10:-4,-14,14,-2,6,-2,2
-11,18,19:-4,-14,14,-2,8,-24,6
-11,20,-1:-4,-14,14,-2,8,-16,-2
-5,5,-2:-4,-12,-14,-4,-6,-18,-2
-5,6,4:-4,-12,-14,-4,-6,-14,-18
-5,15,-2:-4,-12,-14,-4,-6,-14,-4
-5,14,-3:-4,-12,-14,-4,-6,-10,-2
-3,10,8:-4,-12,-14,4,-6,-10,-6
-3,-2,-1:-4,-12,-8,-18,-20,-4,2
-7,-5,1:-4,-12,-8,-14,-14,2,8
-3,9,4:-4,-12,-8,-14,-10,-6,-14
-3,4,6:-4,-12,-8,-14,-10,-2,-14
-10,-2,-14:-4,-12,-8,-14,-6,-24,0
-9,2,-2:-4,-12,-8,-14,-6,-16,-6
-7,-4,-2:-4,-12,-8,-14,-6,-8,-16
-3,16,0:-4,-12,-8,-14,-4,-6,-20
-3,12,3:-4,-12,-8,-14,0,-14,-16
-4,10,-3:-4,-12,-8,-14,0,-8,-20
-9,2,-5:-4,-12,-6,-16,-6,-8,8
-5,5,-7:-4,-12,-6,-16,-4,-6,-2
-7,8,5:-4,-12,-6,-16,-4,-2,4
-12,3,-6:-4,-12,-6,-14,-2,0,-12
-8,9,7:-4,-12,-6,-14,4,4,-6
-5,2,4:-4,-12,-6,-14,8,-2,10
-6,-3,-6:-4,-12,-6,-2,-4,-8,-8
-6,-4,0:-4,-12,-6,-2,4,-10,-14
-5,3,4:-4,-12,-6,0,-4,-2,-4
-10,-4,-14:-4,-12,-6,4,-14,-4,-2
-10,-6,-7:-4,-12,-6,4,-10,-4,4
-13,10,6:-4,-12,-4,-8,-6,4,-28
-13,12,-14:-4,-12,-4,-8,-6,4,-6
-3,10,4:-4,-12,-4,-4,0,-10,2
-3,6,-9:-4,-12,0,-8,0,-2,-30
-3,10,2:-4,-12,0,-4,-12,-6,2
-3,12,6:-4,-12,0,-2,4,4,2
-3,0,-8:-4,-12,4,-6,-14,-8,-16
-7,1,-2:-4,-12,4,-6,2,-6,2
-6,7,-3:-4,-12,4,-6,2,6,10
-7,6,5:-4,-12,4,4,6,6,10
-4,0,1:-4,-12,4,6,4,6,-14
-5,7,1:-4,-12,4,6,10,-14,-10
-3,3,5:-4,-6,-14,-2,-2,8,-2
-9,3,13:-4,-6,-14,-2,8,18,-14
-6,1,8:-4,-6,-14,2,4,-2,-2
-4,7,12:-4,-6,-14,2,4,2,6
-7,-3,6:-4,-6,-14,2,6,14,8
-7,-3,10:-4,-6,-14,2,10,8,18
-6,-4,3:-4,-6,-14,2,14,10,8
-4,3,7:-4,-6,-14,6,4,10,0
-5,-1,6:-4,-6,-14,6,6,2,12
-26,3,26:-4,-6,-14,6,12,-2,28
-3,0,1:-4,-6,-8,-20,-20,-28,-22
-3,20,-1:-4,-6,-8,-20,-20,-28,0
-3,11,2:-4,-6,-8,-18,-20,-10,-8
-3,14,-4:-4,-6,-8,-18,-20,-6,-14
-3,11,-5:-4,-6,-8,-16,-6,-8,-40
-3,13,-25:-4,-6,-8,-16,-6,-8,-18
-3,8,2:-4,-6,-8,-10,-20,-14,-10
-3,2,-15:-4,-6,-8,-10,-20,-12,-32
-3,6,-8:-4,-6,-8,-10,-20,-12,-4
-3,10,9:-4,-6,-8,-10,-20,-10,-8
-3,9,3:-4,-6,-8,-10,-20,-2,4
-3,10,-16:-4,-6,-8,-10,-12,-30,-6
-3,14,-15:-4,-6,-8,-10,-12,-20,-6
-3,12,10:-4,-6,-8,-6,-16,-16,-10
-3,7,-3:-4,-6,-8,-6,-2,-10,-12
-3,13,12:-4,-6,-8,-6,4,-10,-10
-3,12,0:-4,-6,-8,-2,-12,-20,-16
-3,7,-4:-4,-6,-8,-2,-2,-16,-24
-6,-4,-6:-4,-6,-6,-16,-8,-4,-2
-6,-1,-5:-4,-6,-6,-16,0,-8,-2
-5,-5,-1:-4,-6,-6,-16,0,-4,2
-8,1,-1:-4,-6,-6,-16,2,8,8
-18,-9,-1:-4,-6,-6,-16,2,8,10
-13,-9,-3:-4,-6,-6,-14,-14,-6,-6
-7,7,-2:-4,-6,-6,-14,-14,4,-4
-5,-3,-3:-4,-6,-6,-14,-8,0,-2
-9,-9,6:-4,-6,-6,-4,-8,10,12
-9,2,8:-4,-6,-6,-4,2,-8,4
-21,-2,0:-4,-6,-6,-4,10,16,-2
-9,-3,-1:-4,-6,-6,0,-6,6,-2
-5,-1,-3:-4,-6,-6,0,2,-2,0
-5,-1,-8:-4,-6,-6,0,2,6,-2
-6,-1,-9:-4,-6,-6,2,-10,-18,6
-12,10,-12:-4,-6,-6,2,-10,-16,8
-8,3,-10:-4,-6,-6,2,-10,-10,8
-5,11,7:-4,-6,-6,2,2,-6,6
-7,6,-6:-4,-6,-6,2,2,-4,2
-5,6,-6:-4,-6,-6,2,2,-4,4
-5,-1,-5:-4,-6,-6,2,6,-4,-6
-7,-6,1:-4,-6,-6,2,8,6,-8
-7,2,2:-4,-6,-6,4,-10,-2,-4
-7,7,0:-4,-6,-6,4,-6,-8,-2
-20,8,18:-4,-6,-6,4,-6,0,-14
-3,6,-2:-4,-6,-4,-10,-10,-2,-12
-3,5,0:-4,-6,-4,-10,-6,-10,0
-4,0,-2:-4,-6,-4,-10,0,2,4
-9,-1,5:-4,-6,-4,-10,0,4,12
-3,9,-10:-4,-6,-4,-8,-14,-16,-14
-3,10,-4:-4,-6,-4,-8,-12,-10,-8
-10,-7,4:-4,-6,-4,-6,-8,-18,-12
-10,13,2:-4,-6,-4,-6,-8,-18,10
-3,5,2:-4,-6,-4,-6,2,-8,2
-3,7,2:-4,-6,-4,0,0,-10,0
-9,16,2:-4,-6,0,-8,-20,-18,8
-9,-4,4:-4,-6,0,-8,-20,-14,4
-11,7,-10:-4,-6,0,-8,-18,-10,-14
-3,0,-3:-4,-6,0,-8,-12,-20,-8
-3,3,-7:-4,-6,0,-8,-12,-10,-12
-3,6,-15:-4,-6,0,-2,-30,-16,-18
-3,1,-10:-4,-6,0,-2,-30,-10,-6
-6,6,-3:-4,-6,0,-2,-30,-4,-6
-4,21,-6:-4,-6,0,-2,-26,-22,-14
-3,21,-6:-4,-6,0,-2,-26,-22,-6
-4,26,-11:-4,-6,0,-2,-14,-32,-34
-4,26,1:-4,-6,0,-2,-14,-20,-22
-4,26,0:-4,-6,0,-2,-14,-20,-10
-3,-3,4:-4,-6,6,-8,-20,-6,10
-3,12,-5:-4,-6,6,-8,-20,-2,-12
-8,10,0:-4,-6,6,-8,-10,-20,4
-8,10,-9:-4,-6,6,-8,-8,-16,4
-17,-11,5:-4,-6,6,-2,-14,22,12
-15,12,-3:-4,-6,6,-2,14,-12,-20
-8,15,3:-4,-6,6,0,14,-10,0
-13,9,1:-4,-6,6,10,-14,-2,-12
-13,1,7:-4,-6,6,10,-14,0,2
-13,4,18:-4,-6,6,10,-14,12,22
-13,5,-5:-4,-6,6,10,-4,-2,-14
-3,3,8:-4,-4,-14,-2,10,2,-4
-3,14,17:-4,-4,-14,4,-4,-2,8
-7,16,-3:-4,-4,-14,10,0,16,4
-3,12,14:-4,-4,-14,10,6,-4,-2
-4,14,12:-4,-4,-8,-18,-20,2,2
-3,17,4:-4,-4,-8,-12,-16,-6,6
-3,10,6:-4,-4,-8,-12,-14,-6,8
-3,4,13:-4,-4,-8,-12,-14,-4,14
-3,15,-1:-4,-4,-8,-12,-12,-12,6
-3,14,5:-4,-4,-8,-12,-12,-8,6
-3,10,12:-4,-4,-8,-12,-10,-18,10
-3,11,5:-4,-4,-8,-12,-8,-16,0
-6,3,15:-4,-4,-8,-12,0,-6,-4
-3,9,10:-4,-4,-8,-12,0,6,-16
-3,13,2:-4,-4,-8,-10,-20,-8,-12
-8,12,2:-4,-4,-8,-2,-12,-10,8
-8,12,-2:-4,-4,-8,-2,-12,-6,8
-3,17,0:-4,-4,-8,8,-8,-18,-12
-3,6,13:-4,-4,-8,8,-6,-8,12
-3,15,10:-4,-4,-4,10,8,-6,2
-3,2,11:-4,-4,-2,10,12,2,2
-3,4,-15:-4,-4,2,12,14,-8,-20
-6,2,5:-4,-4,2,12,14,0,4
-3,10,18:-4,-4,8,0,16,-4,-4
-7,6,15:-4,-4,8,6,0,10,0
-3,21,4:-4,-4,8,10,0,-4,-14
-3,15,4:-4,0,-16,-6,0,10,12
-7,1,14:-4,0,-16,-4,10,-4,-12
-6,1,-7:-4,0,-16,6,4,4,6
-3,6,5:-4,0,-12,-12,-6,-4,-6
-3,-2,5:-4,0,-12,-12,-6,8,10
-3,0,3:-4,0,-12,-12,-4,6,6
-3,-1,4:-4,0,-12,-12,-2,-4,0
-3,15,9:-4,0,-12,-12,0,0,-6
-3,6,3:-4,0,-12,-12,0,6,4
-6,-5,12:-4,0,-12,-12,8,4,16
-5,-2,0:-4,0,-12,-10,-4,6,-4
-3,-1,2:-4,0,-12,-10,-4,8,0
-5,5,7:-4,0,-12,-10,0,4,14
-3,10,11:-4,0,-12,-10,2,-4,6
-3,9,-12:-4,0,-12,-4,-14,-18,-16
-3,11,-9:-4,0,-12,2,6,14,-8
-3,5,8:-4,0,-12,4,6,2,4
-4,4,1:-4,0,-12,6,2,-8,-2
-11,-11,5:-4,0,-12,8,8,-8,12
-13,-13,14:-4,0,-12,8,12,16,24
-11,-7,11:-4,0,-12,8,12,20,18
-10,-3,-9:-4,0,-12,10,0,-12,-8
-7,-2,2:-4,0,-8,-10,-2,8,-4
